KLNCIT/ECE/73,Lab manual,,
KLNCIT/ECE/74,Electronics Circuits(2marks-II Sem),D.W.Series,Pratheeba
KLNCIT/ECE/75,Digital Systems Engineering,Ilayaraja,
KLNCIT/ECE/76,Digital Signal Processing,Ramesh babu,
KLNCIT/ECE/77,Total Quality Management,S.Bhaskar,Anuradha
KLNCIT/ECE/78,Wavelet Transform,Raghuveer M Rao,
KLNCIT/ECE/79,Commnication Engineering(EC-II),M.Jasmine,Pratheeba
KLNCIT/ECE/80,Analog Digital & Data Communication,J.S.Chitode,
KLNCIT/ECE/81,EC-I,K.S.Srinivasan,Anuradha
KLNCIT/ECE/82,EC-I,K.S.Srinivasan,Anuradha
KLNCIT/ECE/83,DE,R.S.Sedha,~
KLNCIT/ECE/84,Microprocessors,A.K.Gowtham,~
KLNCIT/ECE/85,Control System,Eugene Xavier,~
KLNCIT/ECE/86,Digital Communication,J.S.Chitode,~
KLNCIT/ECE/87,Microprocessors & Applications,A.P.Godse,~
KLNCIT/ECE/88,Digital Signal Processing,J.S.Chitode,~
KLNCIT/ECE/89,Optical Communication ,T.Mythily,~
KLNCIT/ECE/90,EM waves & Wave guides,Dhananjeyan,~
KLNCIT/ECE/91,EDC-2Marks,Nagarajan,~
KLNCIT/ECE/92,TSN,Abdhul Namith,Ramalinga
KLNCIT/ECE/93,Computer Communication N/W?s,V.S.Bagad,~
KLNCIT/ECE/94,Communication Systems,Sanjay Sharma,~
KLNCIT/ECE/95,Microwave Engg,A.K.Gowtham,Katsons Books
KLNCIT/ECE/96,Signals and Systems,J.S.Chitode,~
KLNCIT/ECE/97,Electronic Circuits-I,A.P.Godse,~
KLNCIT/ECE/98,N/W Analysis & Systhesis,Bakshi,Technical
KLNCIT/ECE/99,Electrical Engineering,U.A.Bakshi,~
KLNCIT/ECE/100,DSD,Godse,~
KLNCIT/ECE/101,Control System,R.Sasikala,~
KLNCIT/ECE/102,Circuit Analysis,Uday Bakshi,~
KLNCIT/ECE/103,TL & Networks,U.A.Bakshi,~
KLNCIT/ECE/104,EM waves & Wave Guides,Dhananjeyan,~
