KLNCIT/ECE/104,IN,01/04/2012,~,~
KLNCIT/ECE/105,IN,01/04/2012,~,~
KLNCIT/ECE/106,IN,01/04/2012,~,~
KLNCIT/ECE/107,IN,01/04/2012,~,~
KLNCIT/ECE/108,IN,01/04/2012,~,~
KLNCIT/ECE/109,IN,01/04/2012,~,~
KLNCIT/ECE/110,IN,01/04/2012,~,~
KLNCIT/ECE/111,IN,01/04/2012,~,~
KLNCIT/ECE/112,IN,01/04/2012,~,~
KLNCIT/ECE/113,IN,01/04/2012,~,~
KLNCIT/ECE/114,IN,01/04/2012,~,~
KLNCIT/ECE/115,IN,01/04/2012,~,~
KLNCIT/ECE/116,IN,01/04/2012,~,~
KLNCIT/ECE/117,IN,01/04/2012,~,~
KLNCIT/ECE/118,IN,01/04/2012,~,~
KLNCIT/ECE/119,IN,01/04/2012,~,~
KLNCIT/ECE/120,IN,01/04/2012,~,~
KLNCIT/ECE/121,IN,01/04/2012,~,~
KLNCIT/ECE/122,IN,01/04/2012,~,~
KLNCIT/ECE/123,IN,01/04/2012,~,~
KLNCIT/ECE/124,IN,01/04/2012,~,~
KLNCIT/ECE/125,IN,01/04/2012,~,~
KLNCIT/ECE/126,IN,01/04/2012,~,~
KLNCIT/ECE/127,IN,01/04/2012,~,~
KLNCIT/ECE/128,IN,01/04/2012,~,~
KLNCIT/ECE/129,IN,01/04/2012,~,~
KLNCIT/ECE/130,IN,01/04/2012,~,~
KLNCIT/ECE/131,IN,01/04/2012,~,~
KLNCIT/ECE/132,IN,01/04/2012,~,~
KLNCIT/ECE/133,IN,01/04/2012,~,~
KLNCIT/ECE/134,IN,01/04/2012,~,~
KLNCIT/ECE/135,IN,01/04/2012,~,~
KLNCIT/ECE/136,IN,01/04/2012,~,~
KLNCIT/ECE/137,IN,01/04/2012,~,~
KLNCIT/ECE/138,IN,01/04/2012,~,~
KLNCIT/ECE/139,IN,01/04/2012,~,~
KLNCIT/ECE/140,IN,01/04/2012,~,~
KLNCIT/ECE/141,IN,01/04/2012,~,~
KLNCIT/ECE/142,IN,01/04/2012,~,~
KLNCIT/ECE/143,IN,01/04/2012,~,~
KLNCIT/ECE/144,IN,01/04/2012,~,~
KLNCIT/ECE/145,IN,01/04/2012,~,~
KLNCIT/ECE/146,IN,01/04/2012,~,~
KLNCIT/ECE/147,IN,01/04/2012,~,~
KLNCIT/ECE/148,IN,01/04/2012,~,~
KLNCIT/ECE/149,IN,01/04/2012,~,~
KLNCIT/ECE/150,IN,01/04/2012,~,~
KLNCIT/ECE/151,IN,01/04/2012,~,~
KLNCIT/ECE/152,IN,01/04/2012,~,~
KLNCIT/ECE/153,IN,01/04/2012,~,~
KLNCIT/ECE/154,IN,01/04/2012,~,~
KLNCIT/ECE/155,IN,01/04/2012,~,~
KLNCIT/ECE/156,IN,01/04/2012,~,~
KLNCIT/ECE/157,IN,01/04/2012,~,~
KLNCIT/ECE/158,IN,01/04/2012,~,~
KLNCIT/ECE/159,IN,01/04/2012,~,~
KLNCIT/ECE/160,IN,01/04/2012,~,~
KLNCIT/ECE/161,IN,01/04/2012,~,~
KLNCIT/ECE/162,IN,01/04/2012,~,~
KLNCIT/ECE/163,IN,01/04/2012,~,~
KLNCIT/ECE/164,IN,01/04/2012,~,~
KLNCIT/ECE/165,IN,01/04/2012,~,~
KLNCIT/ECE/166,IN,01/04/2012,~,~
KLNCIT/ECE/167,IN,01/04/2012,~,~
KLNCIT/ECE/168,IN,01/04/2012,~,~
KLNCIT/ECE/169,IN,01/04/2012,~,~
KLNCIT/ECE/170,IN,01/04/2012,~,~
KLNCIT/ECE/171,IN,01/04/2012,~,~
KLNCIT/ECE/172,IN,01/04/2012,~,~
KLNCIT/ECE/173,IN,01/04/2012,~,~
KLNCIT/ECE/174,IN,01/04/2012,~,~
KLNCIT/ECE/175,IN,01/04/2012,~,~
KLNCIT/ECE/176,IN,01/04/2012,~,~
KLNCIT/ECE/177,IN,01/04/2012,~,~
KLNCIT/ECE/178,IN,01/04/2012,~,~
KLNCIT/ECE/179,IN,01/04/2012,~,~
KLNCIT/ECE/180,IN,01/04/2012,~,~
KLNCIT/ECE/181,IN,01/04/2012,~,~
KLNCIT/ECE/182,IN,01/04/2012,~,~
KLNCIT/ECE/183,IN,01/04/2012,~,~
KLNCIT/ECE/184,IN,01/04/2012,~,~
KLNCIT/ECE/185,IN,01/04/2012,~,~
KLNCIT/ECE/186,IN,01/04/2012,~,~
KLNCIT/ECE/187,IN,01/04/2012,~,~
KLNCIT/ECE/188,IN,01/04/2012,~,~
KLNCIT/ECE/189,IN,01/04/2012,~,~
KLNCIT/ECE/190,IN,01/04/2012,~,~
KLNCIT/ECE/191,IN,01/04/2012,~,~
KLNCIT/ECE/192,IN,01/04/2012,~,~
KLNCIT/ECE/193,IN,01/04/2012,~,~
KLNCIT/ECE/194,IN,01/04/2012,~,~
KLNCIT/ECE/195,IN,01/04/2012,~,~
KLNCIT/ECE/196,IN,01/04/2012,~,~
KLNCIT/ECE/197,IN,01/04/2012,~,~
KLNCIT/ECE/198,IN,01/04/2012,~,~
KLNCIT/ECE/199,IN,01/04/2012,~,~
KLNCIT/ECE/200,IN,01/04/2012,~,~
KLNCIT/ECE/201,IN,01/04/2012,~,~
KLNCIT/ECE/202,IN,01/04/2012,~,~
KLNCIT/ECE/203,IN,01/04/2012,~,~
KLNCIT/ECE/204,IN,01/04/2012,~,~
KLNCIT/ECE/205,IN,01/04/2012,~,~
KLNCIT/ECE/206,IN,01/04/2012,~,~
KLNCIT/ECE/207,IN,01/04/2012,~,~
KLNCIT/ECE/208,IN,01/04/2012,~,~
KLNCIT/ECE/209,IN,01/04/2012,~,~
KLNCIT/ECE/210,IN,01/04/2012,~,~
KLNCIT/ECE/211,IN,01/04/2012,~,~
KLNCIT/ECE/212,IN,01/04/2012,~,~
KLNCIT/ECE/213,IN,01/04/2012,~,~
KLNCIT/ECE/214,IN,01/04/2012,~,~
KLNCIT/ECE/215,IN,01/04/2012,~,~
KLNCIT/ECE/216,IN,01/04/2012,~,~
KLNCIT/ECE/217,IN,01/04/2012,~,~
KLNCIT/ECE/218,IN,01/04/2012,~,~
KLNCIT/ECE/219,IN,01/04/2012,~,~
KLNCIT/ECE/220,IN,01/04/2012,~,~
KLNCIT/ECE/221,IN,01/04/2012,~,~
KLNCIT/ECE/222,IN,01/04/2012,~,~
KLNCIT/ECE/223,IN,01/04/2012,~,~
KLNCIT/ECE/224,IN,01/04/2012,~,~
KLNCIT/ECE/225,IN,01/04/2012,~,~
KLNCIT/ECE/226,IN,01/04/2012,~,~
KLNCIT/ECE/227,IN,01/04/2012,~,~
KLNCIT/ECE/228,IN,01/04/2012,~,~
KLNCIT/ECE/229,IN,01/04/2012,~,~
KLNCIT/ECE/230,IN,01/04/2012,~,~
KLNCIT/ECE/231,IN,01/04/2012,~,~
KLNCIT/ECE/232,IN,01/04/2012,~,~
KLNCIT/ECE/233,IN,01/04/2012,~,~
KLNCIT/ECE/234,IN,01/04/2012,~,~
KLNCIT/ECE/235,IN,01/04/2012,~,~
KLNCIT/ECE/236,IN,01/04/2012,~,~
KLNCIT/ECE/237,IN,01/04/2012,~,~
KLNCIT/ECE/238,IN,01/04/2012,~,~
KLNCIT/ECE/239,IN,01/04/2012,~,~
KLNCIT/ECE/240,IN,01/04/2012,~,~
KLNCIT/ECE/241,IN,01/04/2012,~,~
KLNCIT/ECE/242,IN,01/04/2012,~,~
KLNCIT/ECE/243,IN,01/04/2012,~,~
KLNCIT/ECE/244,IN,01/04/2012,~,~
KLNCIT/ECE/245,IN,01/04/2012,~,~
KLNCIT/ECE/246,IN,01/04/2012,~,~
KLNCIT/ECE/247,IN,01/04/2012,~,~
KLNCIT/ECE/248,IN,01/04/2012,~,~
KLNCIT/ECE/249,IN,01/04/2012,~,~
KLNCIT/ECE/250,IN,01/04/2012,~,~
KLNCIT/ECE/251,IN,01/04/2012,~,~
KLNCIT/ECE/252,IN,01/04/2012,~,~
KLNCIT/ECE/253,IN,01/04/2012,~,~
KLNCIT/ECE/254,IN,01/04/2012,~,~
KLNCIT/ECE/255,IN,01/04/2012,~,~
KLNCIT/ECE/256,IN,01/04/2012,~,~
KLNCIT/ECE/257,IN,01/04/2012,~,~
KLNCIT/ECE/258,IN,01/04/2012,~,~
KLNCIT/ECE/259,IN,01/04/2012,~,~
KLNCIT/ECE/260,IN,01/04/2012,~,~
KLNCIT/ECE/261,IN,01/04/2012,~,~
KLNCIT/ECE/262,IN,01/04/2012,~,~
KLNCIT/ECE/263,IN,01/04/2012,~,~
KLNCIT/ECE/264,IN,01/04/2012,~,~
KLNCIT/ECE/265,IN,01/04/2012,~,~
KLNCIT/ECE/266,IN,01/04/2012,~,~
KLNCIT/ECE/267,IN,01/04/2012,~,~
KLNCIT/ECE/268,IN,01/04/2012,~,~
KLNCIT/ECE/269,IN,01/04/2012,~,~
KLNCIT/ECE/270,IN,01/04/2012,~,~
KLNCIT/ECE/271,IN,01/04/2012,~,~
KLNCIT/ECE/272,IN,01/04/2012,~,~
KLNCIT/ECE/273,IN,01/04/2012,~,~
KLNCIT/ECE/274,IN,01/04/2012,~,~
KLNCIT/ECE/275,IN,01/04/2012,~,~
KLNCIT/ECE/276,IN,01/04/2012,~,~
KLNCIT/ECE/277,IN,01/04/2012,~,~
KLNCIT/ECE/278,IN,01/04/2012,~,~
KLNCIT/ECE/279,IN,01/04/2012,~,~
KLNCIT/ECE/280,IN,01/04/2012,~,~
KLNCIT/ECE/281,IN,01/04/2012,~,~
KLNCIT/ECE/282,IN,01/04/2012,~,~
KLNCIT/ECE/283,IN,01/04/2012,~,~
KLNCIT/ECE/284,IN,01/04/2012,~,~
KLNCIT/ECE/285,IN,01/04/2012,~,~
KLNCIT/ECE/286,IN,01/04/2012,~,~
KLNCIT/ECE/287,IN,01/04/2012,~,~
KLNCIT/ECE/288,IN,01/04/2012,~,~
KLNCIT/ECE/289,IN,01/04/2012,~,~
KLNCIT/ECE/290,IN,01/04/2012,~,~
KLNCIT/ECE/291,IN,01/04/2012,~,~
KLNCIT/ECE/292,IN,01/04/2012,~,~
KLNCIT/ECE/293,IN,01/04/2012,~,~
KLNCIT/ECE/294,IN,01/04/2012,~,~
KLNCIT/ECE/295,IN,01/04/2012,~,~
KLNCIT/ECE/296,IN,01/04/2012,~,~
KLNCIT/ECE/297,IN,01/04/2012,~,~
KLNCIT/ECE/298,IN,01/04/2012,~,~
KLNCIT/ECE/299,IN,01/04/2012,~,~
KLNCIT/ECE/300,IN,01/04/2012,~,~
KLNCIT/ECE/301,IN,01/04/2012,~,~
KLNCIT/ECE/302,IN,01/04/2012,~,~
KLNCIT/ECE/303,IN,01/04/2012,~,~
KLNCIT/ECE/304,IN,01/04/2012,~,~
KLNCIT/ECE/305,IN,01/04/2012,~,~
KLNCIT/ECE/306,IN,01/04/2012,~,~
KLNCIT/ECE/307,IN,01/04/2012,~,~
KLNCIT/ECE/308,IN,01/04/2012,~,~
KLNCIT/ECE/309,IN,01/04/2012,~,~
KLNCIT/ECE/310,IN,01/04/2012,~,~
KLNCIT/ECE/311,IN,01/04/2012,~,~
KLNCIT/ECE/312,IN,01/04/2012,~,~
KLNCIT/ECE/313,IN,01/04/2012,~,~
KLNCIT/ECE/314,IN,01/04/2012,~,~
KLNCIT/ECE/315,IN,01/04/2012,~,~
KLNCIT/ECE/316,IN,01/04/2012,~,~
KLNCIT/ECE/317,IN,01/04/2012,~,~
KLNCIT/ECE/318,IN,01/04/2012,~,~
KLNCIT/ECE/319,IN,01/04/2012,~,~
KLNCIT/ECE/320,IN,01/04/2012,~,~
KLNCIT/ECE/321,IN,01/04/2012,~,~
KLNCIT/ECE/322,IN,01/04/2012,~,~
KLNCIT/ECE/323,IN,01/04/2012,~,~
KLNCIT/ECE/324,IN,01/04/2012,~,~
KLNCIT/ECE/325,IN,01/04/2012,~,~
KLNCIT/ECE/326,IN,01/04/2012,~,~
KLNCIT/ECE/327,IN,01/04/2012,~,~
KLNCIT/ECE/328,IN,01/04/2012,~,~
KLNCIT/ECE/329,IN,01/04/2012,~,~
KLNCIT/ECE/330,IN,01/04/2012,~,~
KLNCIT/ECE/331,IN,01/04/2012,~,~
KLNCIT/ECE/332,IN,01/04/2012,~,~
KLNCIT/ECE/333,IN,01/04/2012,~,~
KLNCIT/ECE/334,IN,01/04/2012,~,~
KLNCIT/ECE/335,IN,01/04/2012,~,~
KLNCIT/ECE/336,IN,01/04/2012,~,~
KLNCIT/ECE/337,IN,01/04/2012,~,~
KLNCIT/ECE/338,IN,01/04/2012,~,~
KLNCIT/ECE/339,IN,01/04/2012,~,~
KLNCIT/ECE/340,IN,01/04/2012,~,~
KLNCIT/ECE/341,IN,01/04/2012,~,~
KLNCIT/ECE/342,IN,01/04/2012,~,~
KLNCIT/ECE/343,IN,01/04/2012,~,~
KLNCIT/ECE/344,IN,01/04/2012,~,~
KLNCIT/ECE/345,IN,01/04/2012,~,~
KLNCIT/ECE/346,IN,01/04/2012,~,~
KLNCIT/ECE/347,IN,01/04/2012,~,~
KLNCIT/ECE/348,IN,01/04/2012,~,~
KLNCIT/ECE/349,IN,01/04/2012,~,~
KLNCIT/ECE/350,IN,01/04/2012,~,~
KLNCIT/ECE/351,IN,01/04/2012,~,~
KLNCIT/ECE/352,IN,01/04/2012,~,~
KLNCIT/ECE/353,IN,01/04/2012,~,~
KLNCIT/ECE/354,IN,01/04/2012,~,~
KLNCIT/ECE/355,IN,01/04/2012,~,~
KLNCIT/ECE/356,IN,01/04/2012,~,~
KLNCIT/ECE/357,IN,01/04/2012,~,~
KLNCIT/ECE/358,IN,01/04/2012,~,~
KLNCIT/ECE/359,IN,01/04/2012,~,~
KLNCIT/ECE/360,IN,01/04/2012,~,~
KLNCIT/ECE/361,IN,01/04/2012,~,~
KLNCIT/ECE/362,IN,01/04/2012,~,~
KLNCIT/ECE/363,IN,01/04/2012,~,~
KLNCIT/ECE/364,IN,01/04/2012,~,~
KLNCIT/ECE/365,IN,01/04/2012,~,~
KLNCIT/ECE/366,IN,01/04/2012,~,~
KLNCIT/ECE/367,IN,01/04/2012,~,~
KLNCIT/ECE/368,IN,01/04/2012,~,~
KLNCIT/ECE/369,IN,01/04/2012,~,~
KLNCIT/ECE/370,IN,01/04/2012,~,~
KLNCIT/ECE/371,IN,01/04/2012,~,~
KLNCIT/ECE/372,IN,01/04/2012,~,~
KLNCIT/ECE/373,IN,01/04/2012,~,~
KLNCIT/ECE/374,IN,01/04/2012,~,~
KLNCIT/ECE/375,IN,01/04/2012,~,~
KLNCIT/ECE/376,IN,01/04/2012,~,~
KLNCIT/ECE/377,IN,01/04/2012,~,~
KLNCIT/ECE/378,IN,01/04/2012,~,~
KLNCIT/ECE/379,IN,01/04/2012,~,~
KLNCIT/ECE/380,IN,01/04/2012,~,~
KLNCIT/ECE/381,IN,01/04/2012,~,~
KLNCIT/ECE/382,IN,01/04/2012,~,~
KLNCIT/ECE/383,IN,01/04/2012,~,~
KLNCIT/ECE/384,IN,01/04/2012,~,~
KLNCIT/ECE/385,IN,01/04/2012,~,~
KLNCIT/ECE/386,IN,01/04/2012,~,~
KLNCIT/ECE/387,IN,01/04/2012,~,~
KLNCIT/ECE/388,IN,01/04/2012,~,~
KLNCIT/ECE/389,IN,01/04/2012,~,~
KLNCIT/ECE/390,IN,01/04/2012,~,~
KLNCIT/ECE/391,IN,01/04/2012,~,~
KLNCIT/ECE/392,IN,01/04/2012,~,~
KLNCIT/ECE/393,IN,01/04/2012,~,~
KLNCIT/ECE/394,IN,01/04/2012,~,~
KLNCIT/ECE/395,IN,01/04/2012,~,~
KLNCIT/ECE/396,IN,01/04/2012,~,~
KLNCIT/ECE/397,IN,01/04/2012,~,~
KLNCIT/ECE/398,IN,01/04/2012,~,~
KLNCIT/ECE/399,IN,01/04/2012,~,~
KLNCIT/ECE/400,IN,01/04/2012,~,~
KLNCIT/ECE/401,IN,01/04/2012,~,~
KLNCIT/ECE/402,IN,01/04/2012,~,~
KLNCIT/ECE/403,IN,01/04/2012,~,~
KLCNIT/ECE/404,IN,01/04/2012,~,~
KLNCIT/ECE/405,IN,01/04/2012,~,~
KLNCIT/ECE/406,IN,01/04/2012,~,~
KLNCIT/ECE/407,IN,01/04/2012,~,~
KLNCIT/ECE/408,IN,01/04/2012,~,~
KLNCIT/ECE/409,IN,01/04/2012,~,~
KLNCIT/ECE/410,IN,01/04/2012,~,~
KLNCIT/ECE/411,IN,01/04/2012,~,~
KLNCIT/ECE/412,IN,01/04/2012,~,~
KLNCIT/ECE/413,IN,01/04/2012,~,~
KLNCIT/ECE/414,IN,01/04/2012,~,~
KLNCIT/ECE/415,IN,01/04/2012,~,~
KLNCIT/ECE/416,IN,01/04/2012,~,~
KLNCIT/ECE/417,IN,01/04/2012,~,~
KLNCIT/ECE/418,IN,01/04/2012,~,~
KLNCIT/ECE/419,IN,01/04/2012,~,~
